Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,348,148,9336.000000,1,1,1,20.424,48.024,0.000
Mica,1,270,138,10011.000000,1,1,1,19.044,37.260,0.000
Mica,1,278,121,6543.000000,1,1,1,16.698,38.364,0.000
Mica,1,295,117,9428.000000,1,1,1,16.146,40.710,0.000
Mica,1,308,74,6262.000000,1,1,1,10.212,42.504,0.000
Mica,1,298,60,8543.000000,1,1,1,8.280,41.124,0.000
Mica,1,390,186,8396.000000,1,1,1,25.668,53.820,0.000
Mica,1,405,182,7562.000000,1,1,1,25.116,55.890,0.000
Mica,1,407,205,5528.000000,1,1,1,28.290,56.166,0.000
Mica,1,440,206,7612.000000,1,1,1,28.428,60.720,0.000
Mica,1,441,187,8707.000000,1,1,1,25.806,60.858,0.000
Mica,1,475,183,6794.000000,1,1,1,25.254,65.550,0.000
Mica,1,492,190,8642.000000,1,1,1,26.220,67.896,0.000
Mica,1,477,107,9342.000000,1,1,1,14.766,65.826,0.000
Mica,1,492,86,6867.000000,1,1,1,11.868,67.896,0.000
Mica,1,486,62,9588.000000,1,1,1,8.556,67.068,0.000
Mica,1,453,57,6206.000000,1,1,1,7.866,62.514,0.000
Mica,1,434,70,8502.000000,1,1,1,9.660,59.892,0.000
Mica,1,458,76,9937.000000,1,1,1,10.488,63.204,0.000
Mica,1,468,90,8810.000000,1,1,1,12.420,64.584,0.000
Mica,1,438,141,8266.000000,1,1,1,19.458,60.444,0.000
Mica,1,407,151,7466.000000,1,1,1,20.838,56.166,0.000
Mica,1,395,86,9750.000000,1,1,1,11.868,54.510,0.000
Mica,1,401,44,10059.000000,1,1,1,6.072,55.338,0.000
Mica,1,410,32,8508.000000,1,1,1,4.416,56.580,0.000
Mica,1,430,22,8648.000000,1,1,1,3.036,59.340,0.000
Mica,1,456,19,7490.000000,1,1,1,2.622,62.928,0.000
Mica,1,373,6,8949.000000,1,1,1,0.828,51.474,0.000
Mica,1,354,12,6846.000000,1,1,1,1.656,48.852,0.000
Mica,1,340,7,8494.000000,1,1,1,0.966,46.920,0.000
